STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
38222099999,TOLE BI,02/01/1959,07/04/2020,null,KZ,43.7,73.7833333,456
29634099999,TOLMACHEVO,31/12/1932,07/04/2020,null,RS,55.012622,82.650656,111.25
35505099999,TOLUBAI,01/01/1959,11/12/1963,null,KZ,48.467,51,10.1
36677099999,TOMAR E,04/08/1959,14/01/1960,null,KZ,46.383,75.167,340
29430099999,TOMSK,12/01/1933,07/04/2020,null,RS,56.5,84.9166666,139
35602099999,TOPOLI,24/07/1961,20/11/1975,null,KZ,47.967,51.65,-14
27758099999,TORBEEVO,03/12/1960,31/03/1977,null,RS,54.0833333,43.25,198
35358099999,TORGAI,03/02/1934,07/04/2020,null,KZ,49.634722,63.482222,132.83
28748099999,TROIZK,31/01/1948,07/04/2020,null,RS,54.0833333,61.6166666,192
37298099999,TSAGERI,01/01/1959,07/04/2020,null,GG,42.6333333,42.7,474
37537099999,TSALKA,01/01/1959,28/09/1991,null,GG,41.6,44.0833333,1458
34172099999,TSENTRALNY,31/12/1936,20/08/2019,null,RS,51.565,46.046667,152.09
37513099999,TSIPA,04/09/1959,24/09/1991,null,GG,42.017,43.45,673
28359099999,TUGULYM,30/08/1974,15/11/1991,null,RS,57.0666666,64.6666666,90
28712099999,TUIMAZY,07/03/1959,09/03/1993,null,RS,54.5833333,53.7333333,135
28823099999,TUKAN,05/09/1974,19/01/1993,null,RS,53.833,57.517,548
36889099999,TURGEN,02/01/1959,07/04/2020,null,KZ,43.3833,77.55,979.93
28255099999,TURINSK,15/01/1948,14/06/2017,null,RS,58.05,63.6833333,103
38198099999,TURKESTAN,14/01/1934,07/04/2020,null,KZ,43.2666666,68.2166666,207
36061099999,TUROCAK,22/02/1948,07/04/2020,null,RS,52.25,87.1166666,326
51573099999,TURPAN,23/08/1956,07/04/2020,null,CH,42.95,89.2297222,39.3
38002099999,TUSCIKUDUK,04/01/1959,07/04/2020,null,KZ,44.7333333,51.9666667,56
38008099999,TUSHCHIBEK,08/01/1959,07/04/2020,null,KZ,44.15,51.95,240
35986099999,TYUKEN,02/01/1959,31/12/1981,null,KZ,45.533,72.4,420
28367099999,TYUMEN',02/01/1933,07/04/2020,null,RS,57.1166666,65.4333333,102
29613099999,UBINSKOE,03/01/1948,07/12/1990,null,RS,55.3,79.6166666,140
36729099999,UC-ARAL,16/02/1953,07/04/2020,null,KZ,46.1666666,80.9333333,397
28736099999,UCALY,02/09/1974,12/01/1992,null,RS,54.333,59.517,525
37633099999,UDABNO (MOUNT),01/01/1959,26/11/1990,null,GG,41.517,45.383,750
28722099999,UFA,05/01/1933,07/04/2020,null,RS,54.557511,55.874417,136.85
36028099999,UGLOVSKOYE,06/07/1955,05/02/1961,null,RS,51.367,80.217,202
35416099999,UIL,04/05/1935,07/04/2020,null,KZ,49.0666666,54.6833333,128
38044099999,UJALY,14/01/1973,23/01/1995,null,KZ,44.583,61.15,55
38203099999,UJUK,03/01/1959,07/04/2020,null,RS,43.7833333,70.9333333,366
34896099999,UKATNIY ISLAND,01/01/1959,21/12/1963,null,RS,45.917,49.55,-27
38091099999,ULANBEL',03/01/1959,20/12/1994,null,KZ,44.8,71.067,266
44214099999,ULGI,04/01/1959,07/04/2020,null,MG,48.9333333,89.9333333,1715
36428099999,ULKEN NARYN,16/02/1953,07/04/2020,null,KZ,49.2,84.5166666,401
28629099999,ULU-TELJAK,25/10/1974,10/01/1993,null,RS,54.9,56.95,119
27786099999,ULYANOVSK,03/09/1949,30/04/2013,null,RS,54.3166666,48.3333333,129
27785099999,ULYANOVSK,03/09/1949,07/04/2020,null,RS,54.275556,48.243056,141
35563099999,ULYTAU,16/02/1959,07/04/2020,null,KZ,48.583,67.083,632
38215099999,UMBET,04/01/1959,31/12/1981,null,KZ,43.65,72.383,512
